case,pred_idx,pred_name,gt_label,dice,iou,pred_voxels,gt_voxels,intersection
sub-gl017,0,C1,3,0.0000,0.0000,1484,149876,0
sub-gl017,1,C2,1,0.0000,0.0000,1,173932,0
sub-gl017,2,C3,4,0.0000,0.0000,1,144763,0
sub-gl017,3,C4,5,0.0000,0.0000,1,150654,0
sub-gl017,4,C5,10,0.0000,0.0000,1,257578,0
sub-gl017,5,C6,9,0.0000,0.0000,1,280398,0
sub-gl017,8,T10,6,0.0112,0.0056,8203,172169,1009
sub-gl017,12,T3,11,0.2846,0.1659,650804,266424,130531
sub-gl017,13,T4,2,0.2718,0.1573,762300,225577,134250
sub-gl017,14,T5,8,0.5361,0.3662,150467,281107,115690
sub-gl017,15,T6,7,0.5671,0.3958,125751,215318,96714
